name,nice_name,node_id,processor,opd_address,opd_always_on,child
c3,C3,0x1,octavo,0x0,false,
sdr,SDR,0x5C,octavo,0x0,false,
star_tracker_1,Star Tracker 1,0x2C,octavo,0x1C,false,
battery_1,Battery 1,0x4,stm32,0x18,true,
battery_2,Battery 2,0x8,stm32,0x18,true,
gps,GPS,0x34,octavo,0x19,false,
adcs,ADCS,0x38,stm32,0x1A,false,
rw_1,Reaction Wheel 1,0x3C,stm32,0x20,false,
rw_2,Reaction Wheel 2,0x40,stm32,0x21,false,
rw_3,Reaction Wheel 3,0x44,stm32,0x22,false,
rw_4,Reaction Wheel 4,0x48,stm32,0x23,false,
solar_1,Solar 1,0xC,stm32,0x0,false,
solar_2,Solar 2,0x10,stm32,0x0,false,
solar_3,Solar 3,0x14,stm32,0x0,false,
solar_4,Solar 4,0x18,stm32,0x0,false,
solar_5,Solar 5,0x1C,stm32,0x0,false,
solar_6,Solar 6,0x20,stm32,0x0,false,
solar_7,Solar 7,0x24,stm32,0x0,false,
solar_8,Solar 8,0x28,stm32,0x0,false,
solar_9,Solar 9,0x60,stm32,0x0,false,
solar_10,Solar 10,0x64,stm32,0x0,false,
solar_11,Solar 11,0x68,stm32,0x0,false,
solar_12,Solar 12,0x6C,stm32,0x0,false,
